stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
82,10075,Stop 89 Park Lake Bvd - North West side,,-34.68423, 138.70041,,http://www.adelaidemetro.com.au/stops/view/10075,,,,
83,10076,Stop 76 Whitington Rd - North side,,-34.6855148015043, 138.675551304497,,http://www.adelaidemetro.com.au/stops/view/10076,,,,
85,10078,Stop 76 Whitington Rd - South side,,-34.6856175686502, 138.675452984669,,http://www.adelaidemetro.com.au/stops/view/10078,,,,
86,10079,Stop 86 Craigmore Rd - North side,,-34.6846601389113, 138.708895725381,,http://www.adelaidemetro.com.au/stops/view/10079,,,,
87,10080,Stop 92 Park Lake Bvd - East side,,-34.69055, 138.69917,,http://www.adelaidemetro.com.au/stops/view/10080,,,,
89,10082,Stop 77 Coventry Rd - North West side,,-34.6849058673463, 138.677989311006,,http://www.adelaidemetro.com.au/stops/view/10082,,,,
91,10084,Stop 77 Coventry Rd - South East side,,-34.6848879278979, 138.678213504785,,http://www.adelaidemetro.com.au/stops/view/10084,,,,
93,10086,Stop 85 Craigmore Rd - South side,,-34.6859723873499, 138.71167193726,,http://www.adelaidemetro.com.au/stops/view/10086,,,,
95,10087,Stop 85 Craigmore Rd - North side,,-34.6859606674409, 138.711978967227,,http://www.adelaidemetro.com.au/stops/view/10087,,,,
97,10089,Stop 74 Peachey Rd - East side,,-34.6872956395189, 138.670305551167,,http://www.adelaidemetro.com.au/stops/view/10089,,,,
98,10090,Stop 74 Peachey Rd - West side,,-34.6872773000216, 138.669983606948,,http://www.adelaidemetro.com.au/stops/view/10090,,,,
100,10092,Stop 91 Park Lake Bvd - East side,,-34.6877630320762, 138.698363696671,,http://www.adelaidemetro.com.au/stops/view/10092,,,,
102,10094,Stop 78 Uley Rd - South West side,,-34.6897, 138.69261,,http://www.adelaidemetro.com.au/stops/view/10094,,,,
104,10096,Stop 78 Uley Rd - North East side,,-34.6896652158516, 138.693010954385,,http://www.adelaidemetro.com.au/stops/view/10096,,,,
106,10098,Stop 89 Park Lake Bvd - South East side,,-34.6837693368592, 138.701480291072,,http://www.adelaidemetro.com.au/stops/view/10098,,,,
107,10099,Stop 84 Adams Rd - East side,,-34.6880939211872, 138.712190801564,,http://www.adelaidemetro.com.au/stops/view/10099,,,,
108,10100,Stop 91 Park Lake Bvd - West side,,-34.68794, 138.69813,,http://www.adelaidemetro.com.au/stops/view/10100,,,,
109,10101,Stop 73 Peachey Rd - South East side,,-34.6900227432392, 138.669488255583,,http://www.adelaidemetro.com.au/stops/view/10101,,,,
