304100104,41.77895341,-87.66384485,1,0
304100104,41.77899176,-87.6615627,2,623
304100104,41.77907704,-87.65708989,3,1843
304100104,41.77912956,-87.65262427,4,3061
304100104,41.77917947,-87.64958748,5,3890
304100104,41.77921516,-87.64638688,6,4763
304100104,41.77915168,-87.64603328,7,4862
304100104,41.77908401,-87.64571193,8,4953
304100104,41.77902739,-87.64540511,9,5039
304100104,41.77902241,-87.64493962,10,5166
304100104,41.77902787,-87.64402313,11,5416
304100104,41.77907792,-87.63959558,12,6624
304100104,41.77911883,-87.63729965,13,7250
304100104,41.77914168,-87.63564806,14,7701
304100104,41.77922368,-87.63471609,15,7957
304100104,41.77925985,-87.63417696,16,8105
304100104,41.77929235,-87.63375499,17,8221
304100104,41.77930633,-87.63353231,18,8282
304100104,41.77934262,-87.63337381,19,8327
304100104,41.77948339,-87.63309705,20,8418
304100104,41.77965517,-87.63287559,21,8505
304100104,41.77998793,-87.6324562,22,8672
304100104,41.78019447,-87.63218457,23,8778
304100104,41.78029038,-87.63209862,24,8820
304100104,41.78035583,-87.63205106,25,8847
304100104,41.78045643,-87.63201483,26,8885
304100104,41.78054151,-87.63200271,27,8916
304100104,41.78073826,-87.63200039,28,8988
304100104,41.78154354,-87.63202933,29,9282
304100104,41.78189857,-87.63202839,30,9411
304100104,41.78329585,-87.63205123,31,9920
304100104,41.78367277,-87.63204712,32,10057
304100104,41.78573706,-87.63201584,33,10809
304100104,41.78613385,-87.63203495,34,10954
304100104,41.7862498,-87.63200147,35,10997
304100104,41.78633061,-87.63195667,36,11029
304100104,41.78641355,-87.63190013,37,11063
304100104,41.7864768,-87.63184966,38,11090
304100104,41.78652681,-87.63178469,39,11115
304100104,41.78658982,-87.63169615,40,11148
304100104,41.78665913,-87.6315607,41,11193
304100104,41.78671499,-87.63137854,42,11247
304100104,41.78675561,-87.63121118,43,11295
304100104,41.78677166,-87.63096796,44,11362
304100104,41.78678104,-87.63071017,45,11432
304100104,41.78681912,-87.62941253,46,11786
304100104,41.78684507,-87.62792762,47,12191
304100104,41.78690592,-87.62570439,48,12798
304100104,41.78689315,-87.62470014,49,13072
304100104,41.78690488,-87.62411435,50,13232
304100104,41.78691957,-87.62294581,51,13551
304100104,41.78693823,-87.62064984,52,14177
304100104,41.78697016,-87.61873439,53,14700
304100104,41.7869975,-87.61854961,54,14751
304100104,41.7870406,-87.618432,55,14787
304100104,41.78711222,-87.61831993,56,14827
304100104,41.7872037,-87.61822813,57,14869
304100104,41.78728886,-87.61817741,58,14903
304100104,41.78746835,-87.6181432,59,14969
304100104,41.78896541,-87.61817634,60,15515
304100104,41.78930707,-87.61814033,61,15640
304100104,41.79153426,-87.61822686,62,16452
304100104,41.79329328,-87.61827174,63,17093
304100104,41.79517665,-87.61832411,64,17779
304100104,41.79567595,-87.61833897,65,17961
304100104,41.79703553,-87.61836426,66,18456
304100104,41.79932511,-87.61844964,67,19291
304100104,41.80155635,-87.61849305,68,20104
304100104,41.80209158,-87.6185016,69,20299
304100104,41.80392454,-87.61858076,70,20967
304100104,41.80579359,-87.61860345,71,21648
304100104,41.80608908,-87.61861927,72,21756
304100104,41.80621069,-87.61863702,73,21801
304100104,41.80636576,-87.61867351,74,21858
304100104,41.80648267,-87.61870405,75,21901
304100104,41.80674763,-87.6187677,76,21999
304100104,41.80920884,-87.61882613,77,22896
304100104,41.81059549,-87.61885824,78,23401
304100104,41.81270045,-87.61892038,79,24168
304100104,41.81475314,-87.61897875,80,24916
304100104,41.81646322,-87.61903578,81,25539
304100104,41.81868901,-87.61909221,82,26350
304100104,41.8209525,-87.61915941,83,27175
304100104,41.82113357,-87.61916377,84,27241
304100104,41.82133127,-87.61916157,85,27313
304100104,41.82146879,-87.61919544,86,27364
304100104,41.82158682,-87.61926701,87,27411
304100104,41.82167551,-87.61935519,88,27451
304100104,41.82175013,-87.61947857,89,27494
304100104,41.82179133,-87.61959276,90,27529
304100104,41.82182565,-87.61974843,91,27573
304100104,41.82184164,-87.62002213,92,27648
304100104,41.8218152,-87.62146281,93,28041
304100104,41.82179077,-87.62353858,94,28607
304100104,41.82176767,-87.62442737,95,28849
304100104,41.82175572,-87.62480647,96,28952
304100104,41.82176674,-87.62504839,97,29018
304100104,41.8217865,-87.62516282,98,29050
304100104,41.82183268,-87.62531199,99,29094
304100104,41.82190991,-87.62547356,100,29146
304100104,41.82198659,-87.62554596,101,29180
304100104,41.82205118,-87.62558984,102,29206
304100104,41.82214762,-87.62563567,103,29243
304100104,41.82246139,-87.62566812,104,29358
304100104,41.82478651,-87.6257098,105,30205
304100104,41.82784882,-87.62578286,106,31321
304100104,41.83097552,-87.6258665,107,32461
304100104,41.83167802,-87.62588147,108,32717
304100104,41.83494171,-87.62592728,109,33906
304100104,41.8372178,-87.62598202,110,34736
304100104,41.83827959,-87.62600148,111,35123
304100104,41.84115543,-87.62611445,112,36171
304100104,41.84186734,-87.62612467,113,36430
304100104,41.84270015,-87.62614713,114,36734
304100104,41.84432297,-87.62615202,115,37325
304100104,41.84709832,-87.62623007,116,38337
304100104,41.84747009,-87.62625465,117,38473
304100104,41.84797975,-87.62626548,118,38659
304100104,41.84955158,-87.62632412,119,39232
304100104,41.85024346,-87.6263388,120,39484
304100104,41.85331878,-87.6264069,121,40605
304100104,41.8553772,-87.62644477,122,41355
304100104,41.85646121,-87.6264647,123,41750
304100104,41.85806932,-87.62648841,124,42336
304100104,41.85838881,-87.62645577,125,42453
304100104,41.85875871,-87.62641799,126,42588
304100104,41.8644636,-87.62654768,127,44667
