-87.7461427,41.9628990,title
-87.7454467,41.9626084,title
-87.7450301,41.9623951,title
-87.7447449,41.9622262,title
-87.7443196,41.9619373,title
-87.7425630,41.9605434,title
-87.7420974,41.9602057,title
-87.7415945,41.9598868,title
-87.7397348,41.9588241,title
-87.7345577,41.9559668,title
-87.7528580,41.9661468,title
-87.7514195,41.9652027,title
-87.7500159,41.9643077,title
-87.7492950,41.9639555,title
-87.7488401,41.9637768,title
-87.7484625,41.9636427,title
-87.7612289,41.9707377,title
-87.7619266,41.9709807,title
-87.7616146,41.9708770,title
-87.7604878,41.9704199,title
-87.7601639,41.9702669,title
-87.7597406,41.9700576,title
-87.7665801,41.9725581,title
-87.7655242,41.9720441,title
-87.7675561,41.9730946,title
-87.8232600,41.9840702,title
-87.8190298,41.9835057,title
-87.8140849,41.9824387,title
-87.8131100,41.9823312,title
-87.8067826,41.9823126,title
-87.8031551,41.9823546,title
-87.8009452,41.9823726,title
-87.7875440,41.9824740,title
-87.7862372,41.9824848,title
-87.7838029,41.9821460,title
-87.7833781,41.9819983,title
-87.7820343,41.9813284,title
-87.8996854,41.9809345,title
-87.7309256,41.9539020,title
-87.7124116,41.9362297,title
-87.7135220,41.9413334,title
-87.7130070,41.9409543,title
-87.7272754,41.9518204,title
-87.7279310,41.9521819,title
-87.7328106,41.9549865,title
-87.7386167,41.9581920,title
-87.7379919,41.9578356,title
-87.8616176,41.9834338,title
-87.8611241,41.9834497,title
-87.8616096,41.9837428,title
-87.8610329,41.9836969,title
-87.8860025,41.9780491,title
-87.9015625,41.9792259,title
-87.8118232,41.8738392,title
-87.8109363,41.8738504,title
-87.6658404,41.9029300,title
-87.6678950,41.9039122,title
-87.6413207,41.8868170,title
-87.7123258,41.9325104,title
-87.7120316,41.9319798,title
-87.7117732,41.9317721,title
-87.6292725,41.8757896,title
-87.6292188,41.8759374,title
-87.6296051,41.8856587,title
-87.6298791,41.8857465,title
-87.6397709,41.8857571,title
-87.6398890,41.8857970,title
-87.6612713,41.8758283,title
-87.6779195,41.8756297,title
-87.6575363,41.8759272,title
-87.6577951,41.8759352,title
-87.6581384,41.8759392,title
-87.6585247,41.8759322,title
-87.6612448,41.8758925,title
-87.6614569,41.8758969,title
-87.6617168,41.8759139,title
-87.6620065,41.8759177,title
-87.6626888,41.8758983,title
-87.6648124,41.8758651,title
-87.6662132,41.8758334,title
-87.6678240,41.8758143,title
-87.6684006,41.8758113,title
-87.6689317,41.8758183,title
-87.6693824,41.8758094,title
-87.6697658,41.8757984,title
-87.6700367,41.8757894,title
-87.6703519,41.8757774,title
-87.6707381,41.8757575,title
-87.6712048,41.8757315,title
-87.6715320,41.8757145,title
-87.6718271,41.8757085,title
-87.6723260,41.8756976,title
-87.6763114,41.8756529,title
-87.6763053,41.8755762,title
-87.6719773,41.8756458,title
-87.6714826,41.8756486,title
-87.6711246,41.8756431,title
-87.6707922,41.8756359,title
-87.6704018,41.8756227,title
-87.6700212,41.8756194,title
-87.6696956,41.8756212,title
-87.6694259,41.8756259,title
-87.6688705,41.8756413,title
-87.6682674,41.8756656,title
-87.6676141,41.8756822,title
-87.6668489,41.8756962,title
-87.6619782,41.8757828,title
-87.6617591,41.8757883,title
-87.6615457,41.8758062,title
-87.6582839,41.8758727,title
-87.6579816,41.8758755,title
-87.6577584,41.8758673,title
-87.6575241,41.8758582,title
-87.6572811,41.8758465,title
-87.6523936,41.8755520,title
-87.6466508,41.8754966,title
